claim_id,location,claim_text,source_file,source_selector,value_name,claimed_value,source_value,abs_error,tolerance,status,note,error
abstract_minimal_state_psi_loro_asinh,Abstract; Extended Data hierarchy text,dimensionless loop number gives R^2=0.82 for asinh-transformed overload,source_data/nphys_minimal_state_hot_overload.csv,target=overload_number_asinh; model_family=dimensionless loop; validation=leave_one_route_out,r2_vs_training_mean,0.82,0.8196535299821777,0.0003464700178222868,0.005,pass,"Asinh-overload minimal-state hierarchy, not the raw-overload collapse.",
main_dimensionless_loop_raw_loro,"Main text, dimensionless loop paragraph",Psi achieved R^2=0.62 for raw overload in leave-one-route-out prediction,source_data/nphys_dimensionless_loop_collapse_model_tests.csv,predictor=dimensionless_loop_number; target=overload_number; validation=leave_one_route_out,r2_vs_training_mean,0.62,0.6229266102506946,0.002926610250694628,0.005,pass,Raw-overload collapse audit; deliberately distinct from the asinh hierarchy audit.,
main_loop_activation_raw_loro_control,"Main text, dimensionless loop paragraph",pure loop activation gave R^2=0.087 in the raw-overload collapse audit,source_data/nphys_dimensionless_loop_collapse_model_tests.csv,predictor=loop_activation; target=overload_number; validation=leave_one_route_out,r2_vs_training_mean,0.087,0.0867640351867968,0.00023596481320319052,0.0005,pass,Control model for raw overload.,
main_top5_dimensionless_raw_loro_control,"Main text, dimensionless loop paragraph",dimensionless top-5% force-tail control gave R^2=-0.24 in the raw-overload collapse audit,source_data/nphys_dimensionless_loop_collapse_model_tests.csv,predictor=dimensionless_top5_number; target=overload_number; validation=leave_one_route_out,r2_vs_training_mean,-0.24,-0.2382371147445059,0.00176288525549409,0.005,pass,Negative transfer score supports force-tail insufficiency.,
main_loop_to_overload_within_route,Main force-loop mechanism paragraph,"force-loop activation correlates with overload within routes, rho=0.74",source_data/nphys_force_loop_chain_correlations.csv,predictor=force_h1_birth_force_share_hot_minus_cold; target=force_p99_hot_minus_cold,spearman_within_regime_centered,0.74,0.7410124894439752,0.0010124894439752508,0.005,pass,"Five-route true-force rerun, 150 paired states.",
main_top5_tail_negative_control,Main force-loop mechanism paragraph,"hot-minus-cold top-5% force-share control is anti-correlated within routes, rho=-0.48",source_data/nphys_force_loop_chain_correlations.csv,predictor=force_share_top5_edges_hot_minus_cold; target=force_p99_hot_minus_cold,spearman_within_regime_centered,-0.48,-0.4764638428374594,0.0035361571625405763,0.005,pass,Force concentration is not a substitute overload coordinate.,
main_route_generality_loop_birth_rho,Main force-loop mechanism paragraph; Extended Data Fig. 6,"additional true-force routes retain route-centred loop-birth specificity, rho=0.499",source_data/nphys_route_generality_true_force_extension_tests.csv,scope=route_centered_hot_minus_cold; predictor=force_h1_birth_force_share_hot_minus_cold; target=force_p99_hot_minus_cold,spearman_rho,0.499,0.4990492653414001,4.926534140009542e-05,0.0005,pass,"Three-route true-force extension; route-centred diagnostic, not a universal material law.",
main_route_generality_loop_birth_p,Main force-loop mechanism paragraph; Extended Data Fig. 6,"additional true-force routes retain route-centred loop-birth specificity, P=0.0002",source_data/nphys_route_generality_true_force_extension_tests.csv,scope=route_centered_hot_minus_cold; predictor=force_h1_birth_force_share_hot_minus_cold; target=force_p99_hot_minus_cold,permutation_p_two_sided,0.0002,0.0001999600079984,3.999200160002261e-08,5e-05,pass,Route-preserving residual permutation test for the three-route true-force extension.,
main_eight_route_hot_cost_loop_rho,Abstract; Main force-loop mechanism paragraph; reserve Fig. 67,eight-route hot-cost audit gives route-centred loop activation rho=0.77,source_data/nphys_eight_route_hot_breath_cost_tests.csv,predictor=loop activation; target=route-centred asinh overload,spearman_rho_route_centered,0.77,0.7673206132050903,0.002679386794909755,0.005,pass,"Eight-route hot-breath cost diagnostic; extends hot-cost arm, not next-cold imprint.",
main_eight_route_hot_cost_tail_rho,Abstract; Main force-loop mechanism paragraph; reserve Fig. 67,eight-route hot-cost audit gives force-tail control rho=-0.36,source_data/nphys_eight_route_hot_breath_cost_tests.csv,predictor=force tail; target=route-centred asinh overload,spearman_rho_route_centered,-0.36,-0.3587840066667823,0.001215993333217702,0.005,pass,Eight-route force-tail control remains oppositely signed.,
main_eight_route_hot_cost_loop_p,Main force-loop mechanism paragraph; reserve Fig. 67,eight-route hot-cost audit gives route-preserving P=0.0002 for loop activation,source_data/nphys_eight_route_hot_breath_cost_tests.csv,predictor=loop activation; target=route-centred asinh overload,route_preserving_permutation_p,0.0002,0.0001999600079984,3.999200160002261e-08,5e-05,pass,Route-preserving permutation after route centring.,
main_spatial_conduit_loop_rho,Reserve spatial-fingerprint audit,eight-route wall-coupled conduit subset of cycle-closing loop force has route-centred rho=0.66 with overload,source_data/nphys_force_loop_spatial_fingerprint_correlations.csv,predictor=loop conduit force share,spearman_route_centered,0.66,0.6616868348408825,0.0016868348408825007,0.005,pass,"Eight-route spatial fingerprint audit over 480 true-force states; sub-readout, not a replacement coordinate.",
main_spatial_conduit_loop_loro,Reserve spatial-fingerprint audit,eight-route wall-coupled conduit loop force gives leave-one-route R^2=0.73,source_data/nphys_force_loop_spatial_fingerprint_transfer_tests.csv,model=conduit loops,r2_vs_training_mean,0.73,0.734690677304809,0.004690677304808988,0.005,pass,Spatial sub-readout transfer score.,
main_spatial_total_loop_loro,Main force-loop mechanism paragraph,"eight-route total loop force share remains more transferable, R^2=0.83",source_data/nphys_force_loop_spatial_fingerprint_transfer_tests.csv,model=loop total,r2_vs_training_mean,0.83,0.83453745450854,0.00453745450854004,0.005,pass,Total cycle-closing loop sector remains the primary overload coordinate.,
reserve_force_filtration_betti_area_rho,Reserve force-filtration topology audit,eight-route Betti-1 birth area has route-centred rho=0.81 with overload,source_data/nphys_force_filtration_topology_correlations.csv,predictor=Betti-1 birth area,spearman_route_centered,0.81,0.8089185576138472,0.00108144238615282,0.005,pass,Threshold-free force-filtration topology diagnostic; not a phase-transition order parameter.,
reserve_force_filtration_betti_area_loro,Reserve force-filtration topology audit,eight-route Betti-1 birth area gives leave-one-route R^2=0.74,source_data/nphys_force_filtration_topology_transfer_tests.csv,model=Betti area,r2_vs_training_mean,0.74,0.7389235352657755,0.0010764647342245137,0.005,pass,Threshold robustness support; total loop force remains the primary coordinate.,
main_causal_partial_loop,Main causal-path paragraph,route-fixed partial rank correlation of 0.90 for dimensionless loop number,source_data/nphys_causal_path_partial_residuals.csv,predictor=loop_number; controls=route_fixed_effects+cycle,partial_spearman,0.9,0.8953589048402152,0.004641095159784836,0.005,pass,Rounded from 0.895; path audit after route and cycle effects.,
main_causal_loop_after_tail_gain,Main causal-path paragraph,adding loop after force-tail control increases R^2 by 0.103,source_data/nphys_causal_path_permutation_gain.csv,test=loop_after_tail,delta_r2,0.103,0.1031971190811188,0.00019711908111880172,0.0005,pass,Within-route shuffled null path audit.,
